Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass
TYC 4273-1186-1,2022-12-07T20:22:44.359,339.8064062499999,65.00935527777777,339.7657057462542,65.01444274477984,0.017930017184039197,,,11.52,,,235.52013132328705,,,-2.7918888242793005,1.098686
TYC 4273-149-1,2022-12-07T20:22:44.359,339.36657125,64.86602138888888,339.40547389667665,64.8913003301618,0.03019585789057896,,,12.75,,,363.73682154831397,,,-3.263786905920622,1.098686
TYC 4273-319-1,2022-12-07T20:22:44.359,339.58776499999993,65.066285,339.5194675226436,65.0597814249059,0.029520936156876933,,,12.89,,,350.76332960682873,,,-3.224354197110653,1.098686
TYC 4273-343-1,2022-12-07T20:22:44.359,339.3993054166666,65.13731277777778,339.3847390999634,65.15074115193866,0.014758378853503914,,,11.54,,,135.25527051729227,,,-2.1897042305972936,1.098686
TYC 4273-695-1,2022-12-07T20:22:44.359,339.6230466666666,65.06957249999999,339.6297995424264,65.08076814442427,0.011551681862292686,,,12.47,,,320.2355267428885,,,-3.1254925138242258,1.098686
TYC 4273-822-1,2022-12-07T20:22:44.359,339.8645287499999,65.14470083333335,339.8627998226327,65.13860750066296,0.006136525184659672,,,11.65,,,189.45163802437105,,,-2.555564648731263,1.098686
TYC 4273-849-1,2022-12-07T20:22:44.359,339.3875783333333,65.02880222222223,339.37464023614393,65.03321975817401,0.007024451587250337,,,13.1,,,570.1924036485577,,,-3.7518723051212794,1.098686
TYC 4273-922-1,2022-12-07T20:22:44.359,339.2812283333333,64.93230138888889,339.2732046690506,64.93554094839578,0.004695764045007299,,,11.47,,,239.77531603864884,,,-2.811329917468402,1.098686
V* RZ Cep,2022-12-07T20:22:44.359,339.8049033333333,64.85850305555554,339.7701337584716,64.86564297066982,0.016405286515520773,,,9.48,,,159.555746292378,,,-2.3690998613253864,1.098686
TYC 4273-1186-1,2022-12-07T20:27:51.231,339.8064062499999,65.00935527777777,339.78176609299766,65.00733365982359,0.01060460748969977,,,11.52,,,212.58862398533608,,,-2.680668789490492,1.103271
TYC 4273-149-1,2022-12-07T20:27:51.231,339.36657125,64.86602138888888,339.42149900051135,64.88422999540317,0.02958825514932362,,,12.75,,,353.72789638965094,,,-3.2334920156332188,1.103271
TYC 4273-319-1,2022-12-07T20:27:51.231,339.58776499999993,65.066285,339.4952009420293,65.07754859646288,0.04060732792095418,,,12.89,,,223.01051393460523,,,-2.732632083608145,1.103271
TYC 4273-343-1,2022-12-07T20:27:51.231,339.3993054166666,65.13731277777778,339.4008829838309,65.14367927201819,0.006400944003681641,,,11.54,,,134.60144514848253,,,-2.1844430440315086,1.103271
