Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),Apparent magnitude V (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass,Corrected magnitude R (instrumental),Corrected magnitude G (instrumental),Corrected magnitude B (instrumental)
TYC 4273-1186-1,2022-12-07 20:22:44.359,339.8064062499999,65.00935527777777,339.7657057462542,65.01444274477984,0.0179300171840391,,11.109890937805176,11.52,11.2,,,235.52013132328705,,,-2.7918888242793005,1.098686,,,-1.9487158101907731
TYC 4273-149-1,2022-12-07 20:22:44.359,339.36657125,64.86602138888888,339.40547389667665,64.8913003301618,0.0301958578905789,,12.062689781188965,12.75,12.0,,,363.736821548314,,,-3.263786905920622,1.098686,,,-2.4206138918320947
TYC 4273-319-1,2022-12-07 20:22:44.359,339.58776499999993,65.066285,339.5194675226436,65.0597814249059,0.0295209361568769,,12.238874435424805,12.89,12.44,,,350.76332960682873,,,-3.224354197110653,1.098686,,,-2.3811811830221257
TYC 4273-343-1,2022-12-07 20:22:44.359,339.3993054166666,65.13731277777778,339.3847390999634,65.15074115193866,0.0147583788535039,,11.055931091308594,11.54,11.04,,,135.25527051729227,,,-2.1897042305972936,1.098686,,,-1.3465312165087662
TYC 4273-695-1,2022-12-07 20:22:44.359,339.6230466666666,65.06957249999999,339.6297995424264,65.08076814442427,0.0115516818622926,,11.706887245178224,12.47,12.15,,,320.2355267428885,,,-3.1254925138242258,1.098686,,,-2.2823194997356984
TYC 4273-822-1,2022-12-07 20:22:44.359,339.8645287499999,65.14470083333335,339.8627998226327,65.13860750066296,0.0061365251846596,,10.90470027923584,11.65,10.91,,,189.45163802437105,,,-2.555564648731263,1.098686,,,-1.7123916346427355
TYC 4273-849-1,2022-12-07 20:22:44.359,339.3875783333333,65.02880222222223,339.37464023614393,65.03321975817401,0.0070244515872503,,12.342562675476074,13.1,12.34,,,570.1924036485577,,,-3.75187230512128,1.098686,,,-2.9086992910327525
TYC 4273-922-1,2022-12-07 20:22:44.359,339.2812283333333,64.93230138888889,339.2732046690506,64.93554094839578,0.0046957640450072,,10.665483474731444,11.47,10.81,,,239.77531603864884,,,-2.811329917468402,1.098686,,,-1.9681569033798745
V* RZ Cep,2022-12-07 20:22:44.359,339.8049033333333,64.85850305555554,339.7701337584716,64.86564297066982,0.0164052865155207,9.300000190734863,9.294269561767578,9.48,9.49,,,159.555746292378,,,-2.3690998613253864,1.098686,,,-1.525926847236859
TYC 4273-1186-1,2022-12-07 20:27:51.231,339.8064062499999,65.00935527777777,339.78176609299766,65.00733365982359,0.0106046074896997,,11.109890937805176,11.52,11.2,,,212.58862398533608,,,-2.680668789490492,1.103271,,,-1.6935293591891956
TYC 4273-149-1,2022-12-07 20:27:51.231,339.36657125,64.86602138888888,339.42149900051135,64.88422999540317,0.0295882551493236,,12.062689781188965,12.75,12.0,,,353.72789638965094,,,-3.2334920156332188,1.103271,,,-2.2463525853319224
TYC 4273-319-1,2022-12-07 20:27:51.231,339.58776499999993,65.066285,339.4952009420293,65.07754859646288,0.0406073279209541,,12.238874435424805,12.89,12.44,,,223.01051393460523,,,-2.732632083608145,1.103271,,,-1.7454926533068487
TYC 4273-343-1,2022-12-07 20:27:51.231,339.3993054166666,65.13731277777778,339.4008829838309,65.14367927201819,0.0064009440036816,,11.055931091308594,11.54,11.04,,,134.60144514848253,,,-2.184443044031509,1.103271,,,-1.1973036137302127
