Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass
BD+44  2235,2023-04-02T22:51:21.820,194.26339291666665,44.009390555555555,194.23601098397003,43.99539637508979,0.024161419563913093,,,11.283,,,68.51317556084757,,,0.2961710301541268,1.044006
BD+44  2236,2023-04-02T22:51:21.820,194.3568083333333,44.03411805555555,194.36754819958176,44.048708351544754,0.016506923203276513,,,12.118,,,124.19158503498176,,,-0.34962415125504,1.044006
BD+44  2237,2023-04-02T22:51:21.820,194.35763874999995,43.94248611111111,194.370635715371,43.9278338733855,0.017386411150950472,,,11.74,,,1531.9842767386137,,,-3.0775294964305218,1.044006
GALEX J125702.3+435245,2023-04-02T22:51:21.820,194.25961166666661,43.87941444444444,194.25743886090993,43.88344838543631,0.00432728174241999,,,18.1,,,264.33509395915064,,,-1.1697807895566676,1.044006
TYC 3023-1727-1,2023-04-02T22:51:21.820,194.45246958333328,44.14454194444444,194.41212581217243,44.154168534672195,0.030506427894070844,,,12.18,,,12.56793532523767,,,2.1374464307170933,1.044006
TYC 3023-1747-1,2023-04-02T22:51:21.820,194.32141541666664,44.016803333333336,194.35245007139727,44.02565071142535,0.024006271926212512,,,12.02,,,53.18627624677532,,,0.5711073112434291,1.044006
TYC 3023-1899-1,2023-04-02T22:51:21.820,194.16806583333332,43.94271277777777,194.16619929901643,43.93231956979043,0.010479758510527367,,,12.427,,,31.41368003730014,,,1.142809233758117,1.044006
UCAC4 670-057695,2023-04-02T22:51:21.820,194.12160666666665,43.90199944444444,194.1424931552978,43.904128597810576,0.015198879467514265,,,14.004,,,77.45094661278307,,,0.1630394483087373,1.044006
UCAC4 670-057698,2023-04-02T22:51:21.820,194.14290416666663,43.90944888888889,194.18523870668724,43.89248451784679,0.03490366503040679,,,14.42,,,35.47464789218685,,,1.0108110398241588,1.044006
UCAC4 671-056976,2023-04-02T22:51:21.820,194.1467458333333,44.04041722222222,194.19777948982897,44.0410258753437,0.036690383323377304,,,15.111,,,6848.320228100622,,,-4.703353875888923,1.044006
UCAC4 671-056978,2023-04-02T22:51:21.820,194.23035624999997,44.08350444444444,194.22046481742987,44.073093693453,0.012604666381045333,,,13.154,,,53.82761957546393,,,0.5580933376249158,1.044006
UCAC4 671-056981,2023-04-02T22:51:21.820,194.25201874999996,44.08410611111111,194.29564572385695,44.094601487980725,0.03304625632611389,,,14.607,,,214.77178010565484,,,-0.9443367682543602,1.044006
[VV2006] J125711.4+435654,2023-04-02T22:51:21.820,194.29742916666663,43.94843611111111,194.26445704068502,43.93123836990979,0.029316451608200903,,,19.89,,,89.37466158655502,,,0.0075702476627424525,1.044006
BD+44  2235,2023-04-02T23:39:36.908,194.26339291666665,44.009390555555555,194.23783248800459,43.99940501367193,0.020921979372330344,,,11.283,,,67.8969414859377,,,0.30598074532331393,1.015664
BD+44  2236,2023-04-02T23:39:36.908,194.3568083333333,44.03411805555555,194.36937421345016,44.052714381981986,0.020673891337052115,,,12.118,,,122.8509732328352,,,-0.33784022974384437,1.015664
BD+44  2237,2023-04-02T23:39:36.908,194.35763874999995,43.94248611111111,194.3724459577595,43.93189182227242,0.01503102706898057,,,11.74,,,1519.718531155121,,,-3.068801624412303,1.015664
