Object,Type,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),Apparent magnitude V (known),"flux R (measured, W/m^2)","flux G (measured, W/m^2)","flux B (measured, W/m^2)","flux V (measured, W/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Apparent magnitude V (instrumental),Airmass
Gaia DR3 1582294985825349120,Bader,2024-03-05T23:03:19.670,180.4902725,60.74276416666667,180.43562087318278,60.74577501750189,0.02687788342309464,,17.232594,,,,,,,,,-4.283252887248756,,1.067448
LEDA 2607793,Bader,2024-03-05T23:03:19.670,180.6476420833333,60.84814472222222,180.63654378083018,60.850665914355034,0.005965054552085717,,19.61422,,,,,,,,,-4.484056406249882,,1.067448
SDSS J120123.28+605818.8,Bader,2024-03-05T23:03:19.670,180.34712,60.97181722222222,180.31066064289348,60.99035840238782,0.02562387693642412,,20.128153,,,,,,,,,-4.700633495704993,,1.067448
SDSS J120200.28+605129.5,Bader,2024-03-05T23:03:19.670,180.50115874999997,60.85819611111111,180.4791838485547,60.85149721152129,0.012625945165587868,,21.862967,,,,,,,,,-4.766115279401639,,1.067448
SDSS J120202.61+605825.1,Bader,2024-03-05T23:03:19.670,180.51094166666664,60.973552777777776,180.47532184762625,60.96083462518434,0.021461132524449606,,19.831186,,,,,,,,,-6.253760347587665,,1.067448
SDSS J120241.19+604322.6,Bader,2024-03-05T23:03:19.670,180.67167749999996,60.72295888888889,180.6436001624063,60.74165423594856,0.02319352472260151,,19.88113,21.6,20.46,,,,,,,-4.463495920331947,,1.067448
SDSS J120249.78+604546.7,Bader,2024-03-05T23:03:19.670,180.70744166666665,60.762997222222225,180.72096879584606,60.76404045957597,0.0066887153446246635,,,,,,,,,,,-6.150195159364593,,1.067448
SDSS J120252.42+605306.3,Bader,2024-03-05T23:03:19.670,180.71842291666664,60.885082777777775,180.72651278909328,60.883012871760776,0.0044474075301433385,,20.805779,,,,,,,,,-4.505548273728667,,1.067448
TYC 4154-593-1,Bader,2024-03-05T23:03:19.670,180.61884833333332,60.85004083333334,180.6291700231202,60.884545773375,0.03486891173574275,,12.370372,13.09,12.3,,,,,,,-4.232401651038488,,1.067448
TYC 4154-670-1,Bader,2024-03-05T23:03:19.670,180.52546166666664,60.79639888888889,180.56179624997583,60.784956294680846,0.021102921206682723,,11.886413,12.73,12.22,,,,,,,-3.6872328453684675,,1.067448
BD+61  1277,Bader,2024-03-05T21:36:55.359,180.7205875,60.79778888888889,180.71763951101187,60.80679645363363,0.009121642381968866,,9.767136,11.42,10.13,,,,,,,-3.4235206302568484,,1.163008
GALEX J120158.4+610016,Bader,2024-03-05T21:36:55.359,180.49353499999998,61.00461611111111,180.44054033427895,60.98321831562082,0.03343970546271831,,19.960655,,,,,,,,,-1.7110672382555778,,1.163008
Gaia DR3 1582294749603370624,Bader,2024-03-05T21:36:55.359,180.50535291666665,60.722285,180.49941859691103,60.717860179628765,0.005291748813384365,,20.176197,,,,,,,,,-3.08296395048968,,1.163008
Gaia DR3 1582294985825349120,Bader,2024-03-05T21:36:55.359,180.4902725,60.74276416666667,180.4810704549815,60.74547295124399,0.005249930583670289,,17.232594,,,,,,,,,-3.2070271736751326,,1.163008
Gaia DR3 1582386627543700224,Bader,2024-03-05T21:36:55.359,180.77453791666667,60.936746666666664,180.7177795747156,60.92007998695452,0.03222388767366564,,20.280472,,,,,,,,,-4.114192889575078,,1.163008
Gaia DR3 1582387447881389056,Bader,2024-03-05T21:36:55.359,180.70063999999996,60.96863527777778,180.70287231387715,60.98005535845097,0.011471329234193754,,20.324024,,,,,,,,,-2.5920134626053355,,1.163008
LEDA 2607793,Bader,2024-03-05T21:36:55.359,180.6476420833333,60.84814472222222,180.6586385911833,60.84721963336271,0.005436054731880017,,19.61422,,,,,,,,,-2.4945031477579422,,1.163008
SDSS J120123.28+605818.8,Bader,2024-03-05T21:36:55.359,180.34712,60.97181722222222,180.31516127145395,60.9669833754378,0.016244682764856612,,20.128153,,,,,,,,,-2.09198731922287,,1.163008
SDSS J120149.26+603843.2,Bader,2024-03-05T21:36:55.359,180.45534125,60.64525722222222,180.45902765316518,60.686541733652625,0.041323993330716034,,20.923674,,,,,,,,,-2.7004298093463586,,1.163008
SDSS J120200.28+605129.5,Bader,2024-03-05T21:36:55.359,180.50115874999997,60.85819611111111,180.49130034889103,60.84910643530075,0.010279892230837705,,21.862967,,,,,,,,,-0.5300181112611726,,1.163008
SDSS J120202.61+605825.1,Bader,2024-03-05T21:36:55.359,180.51094166666664,60.973552777777776,180.54196055155816,60.96050381886336,0.019922201704692687,,19.831186,,,,,,,,,-3.478566091824644,,1.163008
SDSS J120241.19+604322.6,Bader,2024-03-05T21:36:55.359,180.67167749999996,60.72295888888889,180.6642249319497,60.72493262481317,0.004144583541320424,,19.88113,21.6,20.46,,,,,,,-2.3460311198545933,,1.163008
SDSS J120249.78+604546.7,Bader,2024-03-05T21:36:55.359,180.70744166666665,60.762997222222225,180.72096678381516,60.7730825525022,0.012055669497634999,,,,,,,,,,,-3.1738160135631306,,1.163008
SDSS J120251.27+605127.9,Bader,2024-03-05T21:36:55.359,180.71366625,60.85774333333333,180.72504795628237,60.83961939878273,0.018952981475446374,,16.586504,,,,,,,,,-4.483521579790243,,1.163008
SDSS J120252.42+605306.3,Bader,2024-03-05T21:36:55.359,180.71842291666664,60.885082777777775,180.70909729916434,60.87654451553251,0.009669349971000536,,20.805779,,,,,,,,,-4.306458689952459,,1.163008
SDSS J120252.53+604350.7,Bader,2024-03-05T21:36:55.359,180.71896791666666,60.730650000000004,180.69240755464904,60.738088112138456,0.01496385644591425,,20.05006,,,,,,,,,-2.6196122231025063,,1.163008
TYC 4154-593-1,Bader,2024-03-05T21:36:55.359,180.61884833333332,60.85004083333334,180.6278845596034,60.841143196604456,0.009927069402345686,,12.370372,13.09,12.3,,,,,,,-4.050203214643789,,1.163008
TYC 4154-670-1,Bader,2024-03-05T21:36:55.359,180.52546166666664,60.79639888888889,180.5342870773666,60.788615947984134,0.008894982157414693,,11.886413,12.73,12.22,,,,,,,-3.8158019320897734,,1.163008
BD+61  1277,Bader,2024-03-05T21:03:24.874,180.7205875,60.79778888888889,180.7396577083338,60.79777054302871,0.009304248469487086,,9.767136,11.42,10.13,,,,,,,-5.898844427827607,,1.221698
GALEX J120158.4+610016,Bader,2024-03-05T21:03:24.874,180.49353499999998,61.00461611111111,180.46026185669126,60.988566819935194,0.022756301458547887,,19.960655,,,,,,,,,-3.7368969418169886,,1.221698
Gaia DR3 1582294985825349120,Bader,2024-03-05T21:03:24.874,180.4902725,60.74276416666667,180.46744575326562,60.735002482998354,0.01359166938062408,,17.232594,,,,,,,,,-3.0686209912752367,,1.221698
