Object,Type,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"flux R (measured, W/m^2)","flux G (measured, W/m^2)","flux B (measured, W/m^2)","flux V (measured, W/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Apparent magnitude V (instrumental),Airmass
2MASS J13412857+4939085,Bader,2024-03-06T20:49:36.285,205.36893916666665,49.65231083333333,205.37991684945206,49.639939597670164,0.01426789661273125,,,,,,37.111796347717956,,,,-3.9237799407776612,,1.697661
2MASX J13405250+4935405,Bader,2024-03-06T20:49:36.285,205.21874291666663,49.59460694444444,205.22142687995563,49.60863690665847,0.014137383175373115,,,,,,8.316402222636412,,,,-2.2998387145295167,,1.697661
2MASX J13410083+4929175,Bader,2024-03-06T20:49:36.285,205.25350041666664,49.488191944444445,205.27073738202552,49.47815906110486,0.01503536011070243,,,,,,12.967379494098253,,,,-2.7821305519606945,,1.697661
2MASX J13415119+4939274,Bader,2024-03-06T20:49:36.285,205.46346291666663,49.657514722222224,205.46052761969878,49.62871592067817,0.028861458541390002,,,,,,91.74158318376664,,,,-4.906415576192574,,1.697661
Gaia DR3 1558384701027155840,Bader,2024-03-06T20:49:36.285,205.1221633333333,49.599985000000004,205.12985403416272,49.60844306930518,0.00981732371474948,,,,,,45.665502741698276,,,,-4.1489706081375,,1.697661
LEDA 2343422,Bader,2024-03-06T20:49:36.285,205.13619249999996,49.45396111111111,205.12202790813456,49.44349358080908,0.013941707677514908,,,,,,83.75070457591394,,,,-4.8074711733660696,,1.697661
NVSS J134023+493053,Bader,2024-03-06T20:49:36.285,205.09838749999997,49.51490555555556,205.12322066592668,49.51749885084665,0.016329743646341325,,,,,,27.968061045874947,,,,-3.6166558972243115,,1.697661
NVSS J134052+493231,Bader,2024-03-06T20:49:36.285,205.2195833333333,49.54222222222222,205.19764648025833,49.51575879073397,0.030050712899061985,,,,,,21.55014384315284,,,,-3.3336254333508144,,1.697661
NVSS J134138+491855,Bader,2024-03-06T20:49:36.285,205.40599166666667,49.31940555555556,205.37583345589704,49.352662210584995,0.03862895084899992,,,,,,298.7171931904502,,,,-6.18815054975479,,1.697661
NVSS J134157+493907,Bader,2024-03-06T20:49:36.285,205.48958333333331,49.651666666666664,205.4801813635416,49.61112611676551,0.040995370142278345,,,,,,88.96695111501495,,,,-4.873071769030157,,1.697661
SDSS J134038.43+492516.4,Bader,2024-03-06T20:49:36.285,205.16015416666664,49.42124166666667,205.1698021954323,49.40650806270286,0.016014953540015486,,,,,,16.966743480637234,,,,-3.073996234535084,,1.697661
SDSS J134041.67+491923.3,Bader,2024-03-06T20:49:36.285,205.17365249999995,49.323147222222225,205.14712163241828,49.35464699866693,0.03593158665837282,,,,,,16.084665801781014,,,,-3.01603010450775,,1.697661
SDSS J134056.73+492919.2,Bader,2024-03-06T20:49:36.285,205.23641666666663,49.488689722222226,205.2224123831963,49.48934836584001,0.009120907535778955,,,,,,21.46785451555091,,,,-3.329471608690055,,1.697661
SDSS J134057.37+492154.7,Bader,2024-03-06T20:49:36.285,205.23904999999996,49.36520277777778,205.26078014133432,49.34062575141294,0.028361829644443254,,,,,,77.06874660925514,,,,-4.717195739974736,,1.697661
SDSS J134058.16+492418.5,Bader,2024-03-06T20:49:36.285,205.24235541666664,49.40516944444445,205.26993573966507,49.42050848416684,0.02360653728961348,,,,,,7.274839791302057,,,,-2.1545585840006716,,1.697661
SDSS J134100.38+492352.7,Bader,2024-03-06T20:49:36.285,205.25157791666663,49.397981944444446,205.2371738843658,49.38467281361393,0.01627979159542435,,,,,,13.96534116812829,,,,-2.862628874551146,,1.697661
SDSS J134111.37+492627.6,Bader,2024-03-06T20:49:36.285,205.2973808333333,49.44103388888889,205.2945206395067,49.43553811741359,0.005801955756249539,,,,,,54.189209407413585,,,,-4.334782037315884,,1.697661
SDSS J134128.52+492438.1,Bader,2024-03-06T20:49:36.285,205.36885916666665,49.410598888888885,205.37542551619387,49.4047455229262,0.007246828238977689,,,,,,25.870376296817184,,,,-3.532006864451072,,1.697661
SDSS J134132.29+492928.0,Bader,2024-03-06T20:49:36.285,205.38456249999996,49.49111388888889,205.40271622053604,49.48572208521527,0.012966844233571199,,,,,,20.652196971047815,,,,-3.287415646234208,,1.697661
SDSS J134137.20+492326.9,Bader,2024-03-06T20:49:36.285,205.40499999999997,49.39082222222222,205.36376813215665,49.36332030509693,0.038431993301629705,,,,,,5.5993945308125035,,,,-1.8703526719158439,,1.697661
SDSS J134144.69+492839.6,Bader,2024-03-06T20:49:36.285,205.43624166666666,49.47768333333334,205.45398910624675,49.452618274549394,0.02759159281731531,,,,,,21.44483863321875,,,,-3.3283069565885426,,1.697661
SDSS J134146.26+492015.1,Bader,2024-03-06T20:49:36.285,205.44277916666664,49.33754444444445,205.44738814973124,49.342719064887035,0.005982898949861153,,,,,,2.765291948355312,,,,-1.1043524727965546,,1.697661
SDSS J134207.45+493136.6,Bader,2024-03-06T20:49:36.285,205.53107749999998,49.526853333333335,205.4888018117758,49.547662539047224,0.034433989615117365,,,,,,24.79297126127325,,,,-3.485821442479195,,1.697661
SDSSCGB 9701.4,Bader,2024-03-06T20:49:36.285,205.4149833333333,49.55384166666666,205.46463829901367,49.5532420867391,0.0322186012793957,,,,,,22.651006569067874,,,,-3.3877187650640335,,1.697661
[SPD2011] 26347,Bader,2024-03-06T20:49:36.285,205.45833333333331,49.361666666666665,205.46424293320905,49.357769605089345,0.005477376217906232,,,,,,3.6292418146803413,,,,-1.3995397650057737,,1.697661
2MASS J13421665+4921143,Bader,2024-03-06T21:36:42.131,205.56930916666664,49.35399638888889,205.5331678713339,49.3731273843515,0.03033146927552324,,,,41.15509816691171,,,,-4.036059104861828,,,,1.478896
2MASX J13405250+4935405,Bader,2024-03-06T21:36:42.131,205.21874291666663,49.59460694444444,205.24382760323863,49.57543181370556,0.025142928378095813,,,,39.76908090762589,,,,-3.998863885601813,,,,1.478896
2MASX J13410083+4929175,Bader,2024-03-06T21:36:42.131,205.25350041666664,49.488191944444445,205.25885426219804,49.48485400864835,0.004820613393687229,,,,26.119419953730485,,,,-3.542408820319686,,,,1.478896
