Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass,Corrected magnitude R (instrumental),Corrected magnitude G (instrumental),Corrected magnitude B (instrumental)
BD+44  2235,2023-04-02 22:51:21.820,194.26339291666665,44.00939055555556,194.23601098397003,43.99539637508979,0.024161419563913,,,11.283,,,68.51317556084757,,,0.2961710301541268,1.044006,,,0.16452558807428005
BD+44  2236,2023-04-02 22:51:21.820,194.3568083333333,44.03411805555555,194.36754819958176,44.048708351544754,0.0165069232032765,,,12.118,,,124.19158503498176,,,-0.34962415125504,1.044006,,,-0.4812695933348867
BD+44  2237,2023-04-02 22:51:21.820,194.35763874999995,43.94248611111111,194.370635715371,43.9278338733855,0.0173864111509504,,,11.74,,,1531.9842767386135,,,-3.0775294964305218,1.044006,,,-3.2091749385103685
GALEX J125702.3+435245,2023-04-02 22:51:21.820,194.2596116666666,43.87941444444444,194.25743886090996,43.88344838543631,0.0043272817424199,,,18.1,,,264.33509395915064,,,-1.1697807895566676,1.044006,,,-1.3014262316365144
TYC 3023-1727-1,2023-04-02 22:51:21.820,194.45246958333328,44.14454194444444,194.41212581217243,44.1541685346722,0.0305064278940708,,,12.18,,,12.56793532523767,,,2.1374464307170933,1.044006,,,2.0058009886372465
TYC 3023-1747-1,2023-04-02 22:51:21.820,194.32141541666664,44.016803333333336,194.35245007139727,44.02565071142535,0.0240062719262125,,,12.02,,,53.18627624677532,,,0.5711073112434291,1.044006,,,0.4394618691635823
TYC 3023-1899-1,2023-04-02 22:51:21.820,194.1680658333333,43.94271277777777,194.16619929901643,43.93231956979043,0.0104797585105273,,,12.427,,,31.41368003730014,,,1.142809233758117,1.044006,,,1.0111637916782703
UCAC4 670-057695,2023-04-02 22:51:21.820,194.12160666666665,43.90199944444444,194.1424931552978,43.904128597810576,0.0151988794675142,,,14.004,,,77.45094661278307,,,0.1630394483087373,1.044006,,,0.03139400622889052
UCAC4 670-057698,2023-04-02 22:51:21.820,194.14290416666665,43.90944888888889,194.18523870668724,43.89248451784679,0.0349036650304067,,,14.42,,,35.47464789218685,,,1.0108110398241588,1.044006,,,0.879165597744312
UCAC4 671-056976,2023-04-02 22:51:21.820,194.1467458333333,44.04041722222222,194.19777948982895,44.0410258753437,0.0366903833233773,,,15.111,,,6848.320228100622,,,-4.703353875888923,1.044006,,,-4.83499931796877
UCAC4 671-056978,2023-04-02 22:51:21.820,194.23035625,44.08350444444444,194.22046481742987,44.073093693453,0.0126046663810453,,,13.154,,,53.82761957546393,,,0.5580933376249158,1.044006,,,0.426447895545069
UCAC4 671-056981,2023-04-02 22:51:21.820,194.25201875,44.08410611111111,194.29564572385692,44.094601487980725,0.0330462563261138,,,14.607,,,214.77178010565484,,,-0.9443367682543602,1.044006,,,-1.075982210334207
[VV2006] J125711.4+435654,2023-04-02 22:51:21.820,194.29742916666663,43.94843611111111,194.26445704068504,43.93123836990979,0.0293164516082009,,,19.89,,,89.37466158655502,,,0.0075702476627424,1.044006,,,-0.12407519441710436
BD+44  2235,2023-04-02 23:39:36.908,194.26339291666665,44.00939055555556,194.23783248800456,43.99940501367193,0.0209219793723303,,,11.283,,,67.8969414859377,,,0.3059807453233139,1.015664,,,-0.04606519049489205
BD+44  2236,2023-04-02 23:39:36.908,194.3568083333333,44.03411805555555,194.36937421345016,44.05271438198199,0.0206738913370521,,,12.118,,,122.8509732328352,,,-0.3378402297438443,1.015664,,,-0.6898861655620503
BD+44  2237,2023-04-02 23:39:36.908,194.35763874999995,43.94248611111111,194.3724459577595,43.93189182227242,0.0150310270689805,,,11.74,,,1519.718531155121,,,-3.068801624412303,1.015664,,,-3.420847560230509
GALEX J125702.3+435245,2023-04-02 23:39:36.908,194.2596116666666,43.87941444444444,194.2592675650017,43.8875296033621,0.0081189478406838,,,18.1,,,269.3859593858284,,,-1.1903311168943034,1.015664,,,-1.5423770527125094
TYC 3023-1727-1,2023-04-02 23:39:36.908,194.45246958333328,44.14454194444444,194.4175738727968,44.15872296560133,0.0287747183661285,,,12.18,,,8.48202208870157,,,2.564357775834265,1.015664,,,2.212311840016059
TYC 3023-1747-1,2023-04-02 23:39:36.908,194.32141541666664,44.016803333333336,194.35425096793196,44.02964547455559,0.0268772091954286,,,12.02,,,54.00097758021121,,,0.5546022187701299,1.015664,,,0.20255628295192402
TYC 3023-1899-1,2023-04-02 23:39:36.908,194.1680658333333,43.94271277777777,194.16800834892177,43.93637432877338,0.006338584160235,,,12.427,,,34.528615597164105,,,1.0401583587531544,1.015664,,,0.6881124229349485
UCAC4 670-057698,2023-04-02 23:39:36.908,194.14290416666665,43.90944888888889,194.18701044668975,43.89648555503575,0.0343215444107581,,,14.42,,,37.61962343817373,,,0.9470701634213784,1.015664,,,0.5950242276031725
UCAC4 671-056976,2023-04-02 23:39:36.908,194.1467458333333,44.04041722222222,194.19968444511647,44.04504122009045,0.0383333234535559,,,15.111,,,6758.112679958971,,,-4.688957297942221,1.015664,,,-5.041003233760427
UCAC4 671-056978,2023-04-02 23:39:36.908,194.23035625,44.08350444444444,194.22224922507763,44.07710768074028,0.0086507404194475,,,13.154,,,54.09343744554832,,,0.5527448231268456,1.015664,,,0.20069888730863966
UCAC4 671-056981,2023-04-02 23:39:36.908,194.25201875,44.08410611111111,194.2847644387948,44.0591052321759,0.0343300985247702,,,14.607,,,30.60442091237172,,,1.1711458577891594,1.015664,,,0.8190999219709534
[VV2006] J125711.4+435654,2023-04-02 23:39:36.908,194.29742916666663,43.94843611111111,194.26627123278303,43.93526801670711,0.0260140778698295,,,19.89,,,90.83958413013984,,,-0.010081569707334,1.015664,,,-0.3621275055255399
BD+44  2235,2023-04-03 00:02:45.022,194.26339291666665,44.00939055555556,194.23859279977043,44.01429971231986,0.0184994063285153,,,11.283,,,67.57465145868014,,,0.3111467377440018,1.009558,,,0.23833009982884507
BD+44  2236,2023-04-03 00:02:45.022,194.3568083333333,44.03411805555555,194.37012203554423,44.06760572365377,0.0348279633041408,,,12.118,,,126.19354183949008,,,-0.3669865507710229,1.009558,,,-0.4398031886861796
BD+44  2237,2023-04-03 00:02:45.022,194.35763874999995,43.94248611111111,194.35494613363724,43.93816647200283,0.0047348108229312,,,11.74,,,1632.4805732999553,,,-3.1465137809649786,1.009558,,,-3.2193304188801353
GALEX J125702.3+435245,2023-04-03 00:02:45.022,194.2596116666666,43.87941444444444,194.2600266278768,43.90239132384205,0.0229788253751691,,,18.1,,,261.0521401496196,,,-1.1562118713541425,1.009558,,,-1.2290285092692992
GEN# +7.00320230,2023-04-03 00:02:45.022,194.4333333333333,44.14666666666667,194.407524300731,44.117475721618376,0.034572432654106,,,12.41,,,54.491036181267305,,,0.5447936076860844,1.009558,,,0.4719769697709277
